21시간 전,글로벌이코노믹,"테슬라, '인공지능(AI) 데이'에 슈퍼컴퓨터 '도조'와 반도체 'D1' 발표","AI 모델 학습에 활용할 수 있는 반도체를 만드는 업체로는 반도체 제조사 인텔, 그래픽카드 제조사 엔비디아, 스타트업 그래프코어(Graphcore) 등이 있다. 도조는 테슬라 차량 내부의 카메라가 수집한 비디오 자료를..."
21시간 전,뉴스투데이,"[주말쇼핑정보] “아듀 여름”… 홈플러스‧G마켓, 시즌오프 세일 한창",이번 행사에 참여한 브랜드는 △삼성전자 △애플 △HP △인텔 △DELL △레노버 △마이크로소프트 △필립스 △LG노트북 △피스넷 △ASUS △코스텔 △폴라로이드 △다이슨 △쿠진아트 △네스프레소 △동서가구 △한샘...
21시간 전,뉴시스,"인텔 CEO ""반도체 통합 주체될 것…M&A 지속""","인텔의 펫 겔싱어 최고경영자(CEO)가 인텔 부흥을 위해 인수합병(M&A)을 활용할 계획이라고 말했다. 19일(현지시간) 월스트리트저널(WSJ)에 따르면 겔싱어 CEO는 인터뷰에서 ""반도체업계의 통합 추세는 지속될 것""이라며..."
21시간 전,이투데이,"겔싱어 인텔 CEO, M&A에 강한 의욕…“반도체업계 통합에 주체될 것”","이투데이=김나은 기자 | “인텔, 자발적인 인수자” 강조 글로버리파운드리 IPO 신청으로 M&A 무산 “반도체 생산 자본 집약적...기업들 힘 합쳐야 할 가능성 커져” 팻 겔싱어 최고경영자(CEO). 로이터연합뉴스 팻..."
21시간 전,데일리한국,"삼성전자, 인텔 제치고 격차 벌린다…SK하이닉스도 고성장","삼성 반도체, 11분기만에 인텔 누르고 매출 1위 IC인사이츠 ""3분기 삼성 반도체 매출 10% 성장"" SK하이닉스 매출 21% 성장, 메모리반도체 효과 [데일리한국 김언한 기자] 삼성전자가 올해 2분기 을 제치고 반도체..."
21시간 전,글로벌이코노믹,"갤싱어 인텔 CEO “반도체 파운드리 기업 인수에 최선""",반도체 업계에서 의욕적인 구매자로 불리는 펫 겔싱어(Pat Gelsinger) 인텔 최고경영자(CEO)가... 지난 2월에 인털 CEO로 취임한 갤싱어는 WSJ과 인터뷰에서 “업계에 통합 흐름이 지속될 것”이라며 “회사()의...
21시간 전,이투데이,"글로벌 메이저 반도체 기업, 폭증하는 수요에 재고자산 사상 최대","이투데이=배준호 기자 | 삼성·인텔 등 9개사 재고자산, 6월 말 기준 76조원 달해 생산 대폭 늘리고자 원재료... 조사 대상은 우리나라의 삼성전자와 SK하이닉스, 대만 TSMC, 미국 과 마이크론테크놀로지, 웨스턴디지털..."
22시간 전,이데일리언론사 선정,삼성 '美 제2반도체 공장' 종착지는 뉴욕?…JY 결단에 쏠리는 눈,오는 2024년 삼성전자의 경쟁자인 대만 TSMC·미국 인텔의 미국 내 파운드리 공장이 준공될 것으로 보이는 가운데 이 부회장의 경영 복귀와 맞물려 삼성전자의 투자시계가 빨라질 것이란 기대가 커지면서다. 인센티브...
22시간 전,씨넷코리아,"[유기자의 차이나샵#] 리얼미, 자사 첫 노트북 '리얼미북' 발표K 화면에 1.38...","100% sRGB, 1500:1의 명암비, 400nits 피크 휘도를 지원해 학습, 사무, 엔터테인먼트 등 다양한 상황에 맞춰 사용할 수 있다.인텔 11세대 코어 프로세서 i5-1135G7이 탑재된 이 제품은 얇기가 14.9cm, 8GB 램 버전..."
22시간 전,테크M,글로벌 반도체 1위 = 삼성전자,"이재용 삼성전자 부회장/캐리커쳐=디미닛 삼성전자가 올해 2분기 글로벌 반도체 시장에서 인텔을... 반면, 10분기 연속 세계 반도체 매출 1위 자리를 지켜오던 미국의 (Intel)은 전분기 대비 3% 성장에 그친..."
